SKU;Produk;Qty;Harga Satuan;Diskon;Harga Jual Setelah Diskon;Harga rata rata;Cogs;Gross Profit;Gross Profit %;% Penjualan;Metode Pembayaran
000055;Garlic Butter & Chiken Ricebowl;32;896000;19600;876400;27387.5;255088.315;621311.685;70.89 %;;Qris BTN, Debit Card, Cash, QRIS BRI, QRIS BCA, Debit
000051;Gyudon;27;810000;16500;793500;29388.89;188522.35;604977.65;76.24 %;;Cash, Qris BTN, QRIS BCA, QRIS BRI, Debit Card
000058;Sallted Egg Chicken Ricebowl;23;644000;8400;635600;27634.78;264880.465;370719.535;58.33 %;;QRIS BRI, Qris BTN, QRIS BCA, Cash, Debit Card, Debit
000060;Ala Thai Chicken Ricebowl;5;135000;0;135000;27000;37332.15;97667.85;72.35 %;;Qris BTN, QRIS BRI, Cash
000052;Spicy Beef;12;360000;4500;355500;29625;85188.71;270311.29;76.04 %;;Debit Card, Cash, QRIS BRI, Qris BTN
000053;Beef Sambel Matah;39;1170000;21000;1149000;29461.54;188891.055;960108.945;83.56 %;;QRIS BRI, Qris BTN, Debit Card, Cash, QRIS BCA
TOTAL Ricebowl Series;;199;5662000;117250;5544750;;1296930.21;4247819.79;76.61 %;0.00 %;
Oval Rice;;;;;;;;;;;
000334;Beef Curry;29;957000;28050;928950;32032.76;0;928950;100.00 %;;Qris BTN, QRIS BRI, Debit Card, Cash, QRIS BCA
000335;Curry Katsu;17;561000;13200;547800;32223.53;0;547800;100.00 %;;Cash, Qris BTN, Debit Card, QRIS BRI
000333;Beef Stroganoff;37;1221000;52800;1168200;31572.97;0;1168200;100.00 %;;Qris BTN, Cash, Debit Card, QRIS BRI, QRIS BCA, Debit
000336;Butter Chicken Oat;13;429000;26400;402600;30969.23;0;402600;100.00 %;;QRIS BRI, QRIS BCA, Qris BTN, Cash, Debit
TOTAL Oval Rice;;96;3168000;120450;3047550;;0;3047550;100.00 %;0.00 %;
Signature;;;;;;;;;;;
000006;Salted Caramel Candy;4;88000;0;88000;22000;32471.4;55528.6;63.10 %;;Cash, Qris BTN
TOTAL Signature;;4;88000;0;88000;;32471.4;55528.6;63.10 %;0.00 %;
Espresso;;;;;;;;;;;
000046;Americano;69;1225000;15300;1209700;17531.88;114969.34;1094730.66;90.50 %;;QRIS BRI, Debit Card, Cash, Qris BTN, QRIS BCA, Debit
000042;Latte;69;1421000;18700;1402300;20323.19;379076.2;1023223.8;72.97 %;;Cash, QRIS BRI, Qris BTN, Debit Card, QRIS BCA
000376;Buttercotch Sea Salt;71;1917000;21600;1895400;26695.77;0;1895400;100.00 %;;Qris BTN, Cash, QRIS BRI, QRIS BCA, Debit Card, Debit
000036;Vanillagia;12;262000;0;262000;21833.33;115209.92;146790.08;56.03 %;;Cash, Qris BTN, QRIS BCA, QRIS BRI
000375;Salted Caramel;51;1122000;19800;1102200;21611.76;0;1102200;100.00 %;;Cash, QRIS BRI, Qris BTN, Debit Card, QRIS BCA, Debit
000030;Butterscouth;73;1752000;43200;1708800;23408.22;589688.18;1119111.82;65.49 %;;Cash, Qris BTN, QRIS BRI, QRIS BCA, Debit Card
000373;Caramel Matchiato;36;864000;6000;858000;23833.33;0;858000;100.00 %;;Cash, QRIS BRI, QRIS BCA, Qris BTN
000374;Affogato;3;60000;0;60000;20000;0;60000;100.00 %;;Cash, Qris BTN
000044;Long Black;13;267000;2100;264900;20376.92;21681.18;243218.82;91.82 %;;Cash, QRIS BRI, QRIS BCA, Qris BTN
000038;Caramello;3;64000;0;64000;21333.33;28629.2;35370.8;55.27 %;;QRIS BRI, Debit Card, Cash
000372;Magic Coffe;4;100000;2500;97500;24375;0;97500;100.00 %;;Cash, Qris BTN, QRIS BRI
000371;Buterscotch Heavy Chesse;30;810000;13500;796500;26550;0;796500;100.00 %;;QRIS BCA, QRIS BRI, Qris BTN, Cash, Debit Card
000040;Cappucino;52;1074000;12600;1061400;20411.54;184285.72;877114.28;82.64 %;;Cash, QRIS BCA, Qris BTN, QRIS BRI
000033;Spanish Latte;26;546000;2100;543900;20919.23;150727.2;393172.8;72.29 %;;QRIS BRI, Cash, QRIS BCA, Qris BTN, Debit Card
000034;Hazelnut;17;368000;3300;364700;21452.94;137606.6;227093.4;62.27 %;;Cash, Qris BTN, QRIS BRI, Debit Card, QRIS BCA
000029;Klepon Coffe;16;400000;7500;392500;24531.25;151186.88;241313.12;61.48 %;;Qris BTN, Cash, QRIS BRI, QRIS BCA
000370;Coconut Coffe;10;250000;2500;247500;24750;0;247500;100.00 %;;Cash, Qris BTN, QRIS BCA, QRIS BRI
000377;Experience Coffe;50;1150000;24150;1125850;22517;0;1125850;100.00 %;;Qris BTN, QRIS BRI, Cash, QRIS BCA, Debit Card
000031;Mocha;3;72000;6000;66000;22000;28941.03;37058.97;56.15 %;;QRIS BCA, Qris BTN
TOTAL Espresso;;608;13724000;200850;13523150;;1902001.45;11621148.55;85.94 %;0.00 %;
Special Bundling [Deleted];;;;;;;;;;;
000416;Special Package 2;2;110000;0;110000;55000;0;110000;100.00 %;;QRIS BCA, Cash
000414;Special Package 1;3;162000;5400;156600;52200;0;156600;100.00 %;;QRIS BCA, Cash, QRIS BRI
TOTAL Special Bundling [Deleted];;5;272000;5400;266600;;0;266600;100.00 %;0.00 %;
Additional;;;;;;;;;;;
000357;Oat Milk;1;7000;0;7000;7000;0;7000;100.00 %;;Cash
000363;Ice Cube;27;81000;450;80550;2983.33;0;80550;100.00 %;;QRIS BRI, Cash, QRIS BCA, Qris BTN
000352;Nasi Putih;15;75000;3250;71750;4783.33;0;71750;100.00 %;;Cash, Qris BTN, QRIS BCA, QRIS BRI
000354;Telor Dadar;1;10000;0;10000;10000;0;10000;100.00 %;;Debit Card
000362;Mineral;232;1856000;36800;1819200;7841.38;0;1819200;100.00 %;;Cash, Qris BTN, QRIS BRI, Debit Card, QRIS BCA, Debit
000359;Ice Cream Vanilla;5;35000;1050;33950;6790;0;33950;100.00 %;;QRIS BRI, Cash
000355;Bold Extra 1shot;5;35000;0;35000;7000;0;35000;100.00 %;;QRIS BRI, QRIS BCA, Cash, Qris BTN
000360;Ice Cream Chocolate;7;49000;1050;47950;6850;0;47950;100.00 %;;QRIS BRI, QRIS BCA, Cash, Qris BTN
000353;Telor Ceplok;2;10000;0;10000;5000;0;10000;100.00 %;;QRIS BCA
000358;Coconut Milk;6;42000;0;42000;7000;0;42000;100.00 %;;QRIS BRI, Cash
000361;Reguler Tea;52;520000;10500;509500;9798.08;0;509500;100.00 %;;Qris BTN, Cash, QRIS BRI, QRIS BCA, Debit Card
TOTAL Additional;;353;2720000;53100;2666900;;0;2666900;100.00 %;0.00 %;
Tea Base;;;;;;;;;;;
000050;Lyche Iced Tea;64;1280000;32000;1248000;19500;406314.24;841685.76;67.44 %;;Qris BTN, Cash, QRIS BRI, Debit Card, QRIS BCA
000400;Green Vanilla Tea;28;504000;4500;499500;17839.29;0;499500;100.00 %;;Qris BTN, Cash, QRIS BCA, QRIS BRI, Debit
000048;Lemon Tea;69;1277000;31300;1245700;18053.62;221504.49;1024195.51;82.22 %;;Qris BTN, Cash, QRIS BRI, QRIS BCA, Debit Card
TOTAL Tea Base;;161;3061000;67800;2993200;;627818.73;2365381.27;79.03 %;0.00 %;
Milk Base;;;;;;;;;;;
000020;Dynamite chocoblast;5;130000;7800;122200;24440;39967.65;82232.35;67.29 %;;QRIS BRI, Cash, Qris BTN
000364;Ube Sinopsis Hot;2;40000;0;40000;20000;0;40000;100.00 %;;QRIS BRI, Qris BTN
000023;Banchoco Chip;9;234000;10400;223600;24844.44;90111.6;133488.4;59.70 %;;Cash, QRIS BRI, Qris BTN
000365;Salted Choco Caramel;19;494000;3900;490100;25794.74;0;490100;100.00 %;;QRIS BRI, Qris BTN, Cash, QRIS BCA, Debit Card
000369;Red Cookies N Cream;24;576000;9600;566400;23600;0;566400;100.00 %;;QRIS BRI, Cash, QRIS BCA, Qris BTN, Debit Card
000018;Chocolate;42;900000;13800;886200;21100;271759.02;614440.98;69.33 %;;QRIS BRI, Qris BTN, Cash, QRIS BCA
000367;Choco Almond;19;456000;7200;448800;23621.05;0;448800;100.00 %;;QRIS BCA, Cash, QRIS BRI, Qris BTN
000368;Ube Cookies N Cream;17;408000;10800;397200;23364.71;0;397200;100.00 %;;QRIS BCA, Qris BTN, Cash, QRIS BRI, Debit Card
000016;Red Sinopsis;9;189000;3150;185850;20650;61552.62;124297.38;66.88 %;;QRIS BRI, Qris BTN, QRIS BCA, Cash
TOTAL Milk Base;;146;3427000;66650;3360350;;463390.89;2896959.11;86.21 %;0.00 %;
Special Spaghetti;;;;;;;;;;;
000331;Bakmi Goreng/Kuah;40;1000000;10000;990000;24750;0;990000;100.00 %;;Qris BTN, Cash, QRIS BCA, QRIS BRI, Debit Card
000073;Spaghetti Carbonara;22;594000;6750;587250;26693.18;131780.24;455469.76;77.56 %;;Qris BTN, Cash, QRIS BRI, Debit Card
000072;Spaghetti Bolognese;31;837000;24300;812700;26216.13;207018.31;605681.69;74.53 %;;Qris BTN, QRIS BRI, Debit Card, Cash, QRIS BCA
000332;Bihun Goreng/Kuah;9;225000;15000;210000;23333.33;0;210000;100.00 %;;Cash, QRIS BCA, QRIS BRI
TOTAL Special Spaghetti;;102;2656000;56050;2599950;;338798.55;2261151.45;86.97 %;0.00 %;
Mocktail;;;;;;;;;;;
000398;Iceblast Orange;6;144000;7200;136800;22800;0;136800;100.00 %;;Cash, Qris BTN
000395;Galaxy Lemonade;9;216000;2400;213600;23733.33;0;213600;100.00 %;;Cash, QRIS BRI, Qris BTN
000399;Lychee Mojito;23;529000;8050;520950;22650;0;520950;100.00 %;;Qris BTN, Cash, QRIS BRI, QRIS BCA
000393;Cocoberry Coffe;11;275000;0;275000;25000;0;275000;100.00 %;;Qris BTN, QRIS BRI, Cash
000397;Honey Orange Fizz;8;192000;0;192000;24000;0;192000;100.00 %;;Cash, QRIS BRI, Debit Card
000396;Blossom Coffe;6;150000;0;150000;25000;0;150000;100.00 %;;Cash, Qris BTN, QRIS BRI
000394;Avenue Tropic;9;225000;2500;222500;24722.22;0;222500;100.00 %;;QRIS BRI, Cash, Qris BTN, QRIS BCA
TOTAL Mocktail;;72;1731000;20150;1710850;;0;1710850;100.00 %;0.00 %;
Toast Bread Series;;;;;;;;;;;
000068;Spring Cheese;30;540000;2700;537300;17910;142605.6;394694.4;73.46 %;;Cash, QRIS BRI, Qris BTN, Debit Card
000069;Classic Dark Choco;48;864000;12600;851400;17737.5;234528;616872;72.45 %;;Qris BTN, Cash, QRIS BRI, QRIS BCA, Debit Card
000067;Summer Caramel;16;288000;4500;283500;17718.75;0;283500;100.00 %;;Qris BTN, QRIS BRI, Debit Card, Cash
TOTAL Toast Bread Series;;94;1692000;19800;1672200;;377133.6;1295066.4;77.45 %;0.00 %;
Matcha Series;;;;;;;;;;;
000383;Dirty Matcha;15;390000;31200;358800;23920;0;358800;100.00 %;;QRIS BRI, QRIS BCA, Cash, Qris BTN
000379;Ceremonial Matcha Oat;8;320000;34000;286000;35750;0;286000;100.00 %;;Debit Card, Qris BTN, Cash, QRIS BRI
000381;Matcha Shake;26;650000;18750;631250;24278.85;0;631250;100.00 %;;QRIS BRI, Cash, Qris BTN, QRIS BCA
000378;Ceremonial Matcha;5;175000;10500;164500;32900;0;164500;100.00 %;;QRIS BCA, Cash, QRIS BRI
000380;Coconut Matcha;11;275000;6250;268750;24431.82;0;268750;100.00 %;;Qris BTN, QRIS BRI, Cash, QRIS BCA
000384;Matcha Latte;106;2226000;28350;2197650;20732.55;0;2197650;100.00 %;;QRIS BCA, Cash, Debit Card, QRIS BRI, Qris BTN
000382;Matcha Pure;28;644000;3450;640550;22876.79;0;640550;100.00 %;;QRIS BRI, Cash, Qris BTN, Debit , Debit Card, QRIS BCA
TOTAL Matcha Series;;199;4680000;132500;4547500;;0;4547500;100.00 %;0.00 %;
Fusion Blend;;;;;;;;;;;
000392;Tropical Mango;10;240000;7200;232800;23280;0;232800;100.00 %;;Debit Card, Cash, Qris BTN, QRIS BRI
000391;Dark Forest;28;728000;14300;713700;25489.29;0;713700;100.00 %;;Cash, QRIS BRI, Qris BTN, QRIS BCA, Debit Card
000389;Caramello Smoothie popcorn;20;540000;20250;519750;25987.5;0;519750;100.00 %;;QRIS BRI, Qris BTN, Cash, QRIS BCA
000388;Candy Crush;4;104000;6500;97500;24375;0;97500;100.00 %;;Cash, QRIS BRI
000390;Doger Bliss;1;25000;0;25000;25000;0;25000;100.00 %;;QRIS BRI
TOTAL Fusion Blend;;63;1637000;48250;1588750;;0;1588750;100.00 %;0.00 %;
Special Nusantara;;;;;;;;;;;
000229;Nasi Goreng Bali;13;325000;3750;321250;24711.54;90653.83;230596.17;71.78 %;;Cash, QRIS BCA, Qris BTN, QRIS BRI, Debit Card
000063;Nasi Goreng Teri;2;56000;2800;53200;26600;8760.02;44439.98;83.53 %;;QRIS BCA, Qris BTN
000061;Omuteras Rice;2;56000;0;56000;28000;22981.86;33018.14;58.96 %;;Qris BTN, QRIS BCA
000064;Nasi Goreng Jawa;28;700000;21250;678750;24241.07;223411.17;455338.83;67.08 %;;QRIS BRI, Qris BTN, Cash, QRIS BCA
000062;Nasi Goreng Tomyum;3;81000;4050;76950;25650;27655.11;49294.89;64.06 %;;Cash, Qris BTN, QRIS BCA
TOTAL Special Nusantara;;48;1218000;31850;1186150;;373461.99;812688.01;68.51 %;0.00 %;
Manual Brew;;;;;;;;;;;
000028;Tubruk;9;135000;6000;129000;14333.33;22536;106464;82.53 %;;Cash, Qris BTN, QRIS BRI
000289;V60 Guest Beans Ice;25;675000;14850;660150;26406;260175.8;399974.2;60.59 %;;Cash, Qris BTN, QRIS BRI, QRIS BCA, Debit Card
000;V60 Guest Beans Hot;8;200000;0;200000;25000;41800;158200;79.10 %;;Qris BTN, QRIS BCA, Cash
TOTAL Manual Brew;;42;1010000;20850;989150;;324511.8;664638.2;67.19 %;0.00 %;
;;2899;62366000;1266550;61099450;;7818026.79;53281423.21;;;

